year,value,anomaly,month,state,type
1999,1.63,1.19,02,MN,drought
2000,2.26,1.82,02,MN,drought
2001,2.84,2.40,02,MN,drought
2002,-1.44,-1.88,02,MN,drought
2003,-.29,-0.73,02,MN,drought
2004,-2.83,-3.27,02,MN,drought
2005,3.23,2.79,02,MN,drought
2006,3.12,2.68,02,MN,drought
2007,-2.83,-3.27,02,MN,drought
2008,1.2,0.76,02,MN,drought
2009,2.54,2.10,02,MN,drought
2010,2.22,1.78,02,MN,drought
2011,4.44,4.00,02,MN,drought
2012,-3.47,-3.91,02,MN,drought
2013,.14,-0.30,02,MN,drought
2014,.87,0.43,02,MN,drought
2015,-1.75,-2.19,02,MN,drought
2016,2.35,1.91,02,MN,drought
1895,-.56,-0.87,03,MN,drought
1896,.56,0.25,03,MN,drought
1897,3.71,3.40,03,MN,drought
1898,-1.87,-2.18,03,MN,drought
1899,1.13,0.82,03,MN,drought
1900,2.16,1.85,03,MN,drought
1901,2.76,2.45,03,MN,drought
1902,-1.02,-1.33,03,MN,drought
1903,2.54,2.23,03,MN,drought
1904,4.03,3.72,03,MN,drought
1905,2.12,1.81,03,MN,drought
1906,3.79,3.48,03,MN,drought
1907,3.41,3.10,03,MN,drought
1908,2.16,1.85,03,MN,drought
1909,.85,0.54,03,MN,drought
1910,-1.08,-1.39,03,MN,drought
1911,-7.65,-7.96,03,MN,drought
1912,-.64,-0.95,03,MN,drought
1913,-1.59,-1.90,03,MN,drought
1914,1.13,0.82,03,MN,drought
1915,-.4,-0.71,03,MN,drought
1916,2.99,2.68,03,MN,drought
1917,1.92,1.61,03,MN,drought
1918,-3.48,-3.79,03,MN,drought
1919,1.35,1.04,03,MN,drought
1920,2.19,1.88,03,MN,drought
1921,-1.4,-1.71,03,MN,drought
1922,-2.14,-2.45,03,MN,drought
1923,-2.88,-3.19,03,MN,drought
1924,-6.17,-6.48,03,MN,drought
1925,-.35,-0.66,03,MN,drought
1926,-.1,-0.41,03,MN,drought
1927,2.4,2.09,03,MN,drought
1928,.02,-0.29,03,MN,drought
1929,.01,-0.30,03,MN,drought
1930,-1.96,-2.27,03,MN,drought
1931,-3.17,-3.48,03,MN,drought
1932,-1.86,-2.17,03,MN,drought
1933,-2.21,-2.52,03,MN,drought
1934,-5.66,-5.97,03,MN,drought
1935,.21,-0.10,03,MN,drought
1936,1.51,1.20,03,MN,drought
1937,-5.28,-5.59,03,MN,drought
1938,-2.95,-3.26,03,MN,drought
1939,-1.52,-1.83,03,MN,drought
1940,-4.58,-4.89,03,MN,drought
1941,.56,0.25,03,MN,drought
1942,2.01,1.70,03,MN,drought
1943,2.84,2.53,03,MN,drought
1944,1.03,0.72,03,MN,drought
1945,2.95,2.64,03,MN,drought
1946,2.81,2.50,03,MN,drought
1947,1.93,1.62,03,MN,drought
1948,.51,0.20,03,MN,drought
1949,-1.56,-1.87,03,MN,drought
1950,1.59,1.28,03,MN,drought
1951,1.47,1.16,03,MN,drought
1952,3.68,3.37,03,MN,drought
1953,-.09,-0.40,03,MN,drought
1954,1.48,1.17,03,MN,drought
1955,-1.23,-1.54,03,MN,drought
1956,-2.24,-2.55,03,MN,drought
1957,-.03,-0.34,03,MN,drought
1958,-.65,-0.96,03,MN,drought
1959,-2.87,-3.18,03,MN,drought
1960,.62,0.31,03,MN,drought
1961,-1.97,-2.28,03,MN,drought
1962,.62,0.31,03,MN,drought
1963,.11,-0.20,03,MN,drought
1964,-3.84,-4.15,03,MN,drought
1965,1.97,1.66,03,MN,drought
1966,4.97,4.66,03,MN,drought
1967,.59,0.28,03,MN,drought
1968,-4.55,-4.86,03,MN,drought
1969,-.38,-0.69,03,MN,drought
1970,.66,0.35,03,MN,drought
1971,2.63,2.32,03,MN,drought
1972,2.97,2.66,03,MN,drought
1973,2.53,2.22,03,MN,drought
1974,2.2,1.89,03,MN,drought
1975,1.43,1.12,03,MN,drought
1976,1.11,0.80,03,MN,drought
1977,-7.19,-7.50,03,MN,drought
1978,2.32,2.01,03,MN,drought
1979,3.47,3.16,03,MN,drought
1980,-.15,-0.46,03,MN,drought
1981,-1.99,-2.30,03,MN,drought
1982,2.39,2.08,03,MN,drought
1983,3.72,3.41,03,MN,drought
1984,2.81,2.50,03,MN,drought
1985,2.5,2.19,03,MN,drought
1986,3.34,3.03,03,MN,drought
1987,-.09,-0.40,03,MN,drought
1988,-3.65,-3.96,03,MN,drought
1989,-3.35,-3.66,03,MN,drought
1990,-.05,-0.36,03,MN,drought
1991,.46,0.15,03,MN,drought
1992,2.78,2.47,03,MN,drought
1993,2.09,1.78,03,MN,drought
1994,3.5,3.19,03,MN,drought
1995,3.02,2.71,03,MN,drought
1996,3.34,3.03,03,MN,drought
1997,3.26,2.95,03,MN,drought
1998,2.1,1.79,03,MN,drought
1999,1.58,1.27,03,MN,drought
2000,1.81,1.50,03,MN,drought
2001,2.16,1.85,03,MN,drought
2002,-1.43,-1.74,03,MN,drought
2003,-.38,-0.69,03,MN,drought
2004,-2.82,-3.13,03,MN,drought
2005,2.68,2.37,03,MN,drought
2006,3.27,2.96,03,MN,drought
2007,-2.21,-2.52,03,MN,drought
2008,.85,0.54,03,MN,drought
2009,3.43,3.12,03,MN,drought
2010,-.37,-0.68,03,MN,drought
2011,4.08,3.77,03,MN,drought
2012,-4.25,-4.56,03,MN,drought
2013,.37,0.06,03,MN,drought
2014,.64,0.33,03,MN,drought
2015,-2.3,-2.61,03,MN,drought
1895,-1.25,-1.51,04,MN,drought
1896,2.64,2.38,04,MN,drought
1897,3,2.74,04,MN,drought
1898,-2.13,-2.39,04,MN,drought
1899,.8,0.54,04,MN,drought
1900,-.93,-1.19,04,MN,drought
1901,-.38,-0.64,04,MN,drought
1902,-1.15,-1.41,04,MN,drought
1903,2.63,2.37,04,MN,drought
1904,3.71,3.45,04,MN,drought
1905,1.76,1.50,04,MN,drought
1906,2.83,2.57,04,MN,drought
1907,3.01,2.75,04,MN,drought
1908,1.93,1.67,04,MN,drought
1909,1.02,0.76,04,MN,drought
1910,-1.68,-1.94,04,MN,drought
1911,-7.67,-7.93,04,MN,drought
1912,-.74,-1.00,04,MN,drought
1913,-1.75,-2.01,04,MN,drought
1914,1.24,0.98,04,MN,drought
1915,-1.28,-1.54,04,MN,drought
1916,3.23,2.97,04,MN,drought
1917,2.05,1.79,04,MN,drought
1918,-3.34,-3.60,04,MN,drought
1919,1.37,1.11,04,MN,drought
1920,2.27,2.01,04,MN,drought
1921,-1.65,-1.91,04,MN,drought
1922,-2.01,-2.27,04,MN,drought
1923,-2.64,-2.90,04,MN,drought
1924,-5.67,-5.93,04,MN,drought
1925,-.71,-0.97,04,MN,drought
1926,-.96,-1.22,04,MN,drought
1927,2.51,2.25,04,MN,drought
1928,.36,0.10,04,MN,drought
1929,-.2,-0.46,04,MN,drought
1930,-2.56,-2.82,04,MN,drought
1931,-3.79,-4.05,04,MN,drought
1932,-1.75,-2.01,04,MN,drought
1933,-2.21,-2.47,04,MN,drought
1934,-5.99,-6.25,04,MN,drought
1935,.6,0.34,04,MN,drought
1936,-.03,-0.29,04,MN,drought
1937,-3.76,-4.02,04,MN,drought
1938,.65,0.39,04,MN,drought
1939,-1.62,-1.88,04,MN,drought
1940,-3.73,-3.99,04,MN,drought
1941,.72,0.46,04,MN,drought
1942,1.38,1.12,04,MN,drought
1943,2.05,1.79,04,MN,drought
1944,.92,0.66,04,MN,drought
1945,3.24,2.98,04,MN,drought
1946,1.7,1.44,04,MN,drought
1947,2.69,2.43,04,MN,drought
1948,.71,0.45,04,MN,drought
1949,-2.4,-2.66,04,MN,drought
1950,2.31,2.05,04,MN,drought
1951,1.51,1.25,04,MN,drought
1952,-.97,-1.23,04,MN,drought
1953,.75,0.49,04,MN,drought
1954,1.88,1.62,04,MN,drought
1955,-1.8,-2.06,04,MN,drought
1956,-1.92,-2.18,04,MN,drought
1957,.06,-0.20,04,MN,drought
1958,-.95,-1.21,04,MN,drought
1959,-3.56,-3.82,04,MN,drought
1960,1.18,0.92,04,MN,drought
1961,-1.3,-1.56,04,MN,drought
1962,.57,0.31,04,MN,drought
1963,.22,-0.04,04,MN,drought
1964,.5,0.24,04,MN,drought
1965,2.43,2.17,04,MN,drought
1966,4.76,4.50,04,MN,drought
1967,1.19,0.93,04,MN,drought
1968,.69,0.43,04,MN,drought
1969,-.65,-0.91,04,MN,drought
1970,1.22,0.96,04,MN,drought
1971,1.79,1.53,04,MN,drought
1972,2.79,2.53,04,MN,drought
1973,2.04,1.78,04,MN,drought
1974,2.19,1.93,04,MN,drought
1975,2.24,1.98,04,MN,drought
1976,-.93,-1.19,04,MN,drought
1977,-7.34,-7.60,04,MN,drought
1978,2.3,2.04,04,MN,drought
1979,3.35,3.09,04,MN,drought
1980,-1.4,-1.66,04,MN,drought
1981,-1.7,-1.96,04,MN,drought
1982,2.03,1.77,04,MN,drought
1983,3.09,2.83,04,MN,drought
1984,2.62,2.36,04,MN,drought
1985,2.34,2.08,04,MN,drought
1986,4.39,4.13,04,MN,drought
1987,-1.69,-1.95,04,MN,drought
1988,-4.18,-4.44,04,MN,drought
1989,-3.11,-3.37,04,MN,drought
1990,.29,0.03,04,MN,drought
1991,1.05,0.79,04,MN,drought
1992,2.58,2.32,04,MN,drought
1993,2.19,1.93,04,MN,drought
1994,3.88,3.62,04,MN,drought
1995,2.96,2.70,04,MN,drought
