year,value,anomaly,month,state,type
1910,-1.8,-1.65,03,IN,drought
1911,-.69,-0.54,03,IN,drought
1912,1.86,2.01,03,IN,drought
1913,4.53,4.68,03,IN,drought
1914,-1.95,-1.80,03,IN,drought
1915,-4.55,-4.40,03,IN,drought
1916,-.64,-0.49,03,IN,drought
1917,.16,0.31,03,IN,drought
1918,-1.69,-1.54,03,IN,drought
1919,-.08,0.07,03,IN,drought
1920,.12,0.27,03,IN,drought
1921,-.82,-0.67,03,IN,drought
1922,2.58,2.73,03,IN,drought
1923,.38,0.53,03,IN,drought
1924,1.34,1.49,03,IN,drought
1925,-1.66,-1.51,03,IN,drought
1926,.27,0.42,03,IN,drought
1927,2.6,2.75,03,IN,drought
1928,1.92,2.07,03,IN,drought
1929,.8,0.95,03,IN,drought
1930,-.68,-0.53,03,IN,drought
1931,-6.84,-6.69,03,IN,drought
1932,-.35,-0.20,03,IN,drought
1933,2.66,2.81,03,IN,drought
1934,-3.62,-3.47,03,IN,drought
1935,-3.5,-3.35,03,IN,drought
1936,-2,-1.85,03,IN,drought
1937,1.56,1.71,03,IN,drought
1938,2.33,2.48,03,IN,drought
1939,1.35,1.50,03,IN,drought
1940,-3.77,-3.62,03,IN,drought
1941,-5.04,-4.89,03,IN,drought
1942,.94,1.09,03,IN,drought
1943,.59,0.74,03,IN,drought
1944,-2.1,-1.95,03,IN,drought
1945,1.42,1.57,03,IN,drought
1946,-.64,-0.49,03,IN,drought
1947,-1.8,-1.65,03,IN,drought
1948,.77,0.92,03,IN,drought
1949,2.69,2.84,03,IN,drought
1950,4.61,4.76,03,IN,drought
1951,3.96,4.11,03,IN,drought
1952,2.73,2.88,03,IN,drought
1953,-1.35,-1.20,03,IN,drought
1954,-4.74,-4.59,03,IN,drought
1955,.96,1.11,03,IN,drought
1956,.42,0.57,03,IN,drought
1957,-2.98,-2.83,03,IN,drought
1958,-1.48,-1.33,03,IN,drought
1959,-.28,-0.13,03,IN,drought
1960,-.67,-0.52,03,IN,drought
1961,.67,0.82,03,IN,drought
1962,-.11,0.04,03,IN,drought
1963,-.69,-0.54,03,IN,drought
1964,-3.32,-3.17,03,IN,drought
1965,-2.8,-2.65,03,IN,drought
1966,-1.76,-1.61,03,IN,drought
1967,-.45,-0.30,03,IN,drought
1968,-.67,-0.52,03,IN,drought
1969,-1.1,-0.95,03,IN,drought
1970,-.89,-0.74,03,IN,drought
1971,-.65,-0.50,03,IN,drought
1972,-.75,-0.60,03,IN,drought
1973,2.32,2.47,03,IN,drought
1974,2.07,2.22,03,IN,drought
1975,2.61,2.76,03,IN,drought
1976,-.16,-0.01,03,IN,drought
1977,-.92,-0.77,03,IN,drought
1978,1.39,1.54,03,IN,drought
1979,1.36,1.51,03,IN,drought
1980,2.62,2.77,03,IN,drought
1981,-1.97,-1.82,03,IN,drought
1982,2.61,2.76,03,IN,drought
1983,-1.34,-1.19,03,IN,drought
1984,.81,0.96,03,IN,drought
1985,2.04,2.19,03,IN,drought
1986,-.55,-0.40,03,IN,drought
1987,-1.59,-1.44,03,IN,drought
1988,-.86,-0.71,03,IN,drought
1989,.88,1.03,03,IN,drought
1990,2.25,2.40,03,IN,drought
1991,.29,0.44,03,IN,drought
1992,-2.32,-2.17,03,IN,drought
1993,2.56,2.71,03,IN,drought
1994,-1.2,-1.05,03,IN,drought
1995,-1.73,-1.58,03,IN,drought
1996,-1.66,-1.51,03,IN,drought
1997,3.4,3.55,03,IN,drought
1998,.27,0.42,03,IN,drought
1999,-.53,-0.38,03,IN,drought
2000,-3.84,-3.69,03,IN,drought
2001,-1.13,-0.98,03,IN,drought
2002,3.13,3.28,03,IN,drought
2003,-2.08,-1.93,03,IN,drought
2004,2.44,2.59,03,IN,drought
2005,-.5,-0.35,03,IN,drought
2006,.68,0.83,03,IN,drought
2007,-.27,-0.12,03,IN,drought
2008,3.17,3.32,03,IN,drought
2009,1.48,1.63,03,IN,drought
2010,-.84,-0.69,03,IN,drought
2011,.75,0.90,03,IN,drought
2012,-1.31,-1.16,03,IN,drought
2013,.44,0.59,03,IN,drought
2014,.57,0.72,03,IN,drought
2015,1.84,1.99,03,IN,drought
1895,-1.99,-1.94,04,IN,drought
1896,-3.48,-3.43,04,IN,drought
1897,3.4,3.45,04,IN,drought
1898,1.89,1.94,04,IN,drought
1899,-1.03,-0.98,04,IN,drought
1900,-3.05,-3.00,04,IN,drought
1901,-2.1,-2.05,04,IN,drought
1902,-4.26,-4.21,04,IN,drought
1903,-.16,-0.11,04,IN,drought
1904,2.27,2.32,04,IN,drought
1905,.02,0.07,04,IN,drought
1906,-.79,-0.74,04,IN,drought
1907,1.38,1.43,04,IN,drought
1908,3.44,3.49,04,IN,drought
1909,1.43,1.48,04,IN,drought
1910,-2.1,-2.05,04,IN,drought
1911,.68,0.73,04,IN,drought
1912,2.04,2.09,04,IN,drought
